code
A1CAP
A1YEN
ABVKS
ACP
ACSEL
ADEL
ADESE
ADGYO
AEFES
AFB
AFYON
AGESA
AGHOL
AGROT
AGYO
AHGAZ
AHSGY
AKBNK
AKCKM
AKCNS
AKDFA
AKENR
AKFGY
AKFIS
AKFK
AKFYE
AKGRT
AKM
AKMEN
AKMGY
AKSA
AKSEN
AKSFA
AKSGY
AKSUE
AKTIF
AKTVK
AKYHO
ALARK
ALBRK
ALCAR
ALCTL
ALFAS
ALFIN
ALGYO
ALJF
ALK
ALKA
ALKIM
ALKLC
ALNTF
ALNUS
ALQ
ALROS
ALTNY
ALVES
ANC
ANELE
ANF
ANGEN
ANHYT
ANSGR
ARASE
ARCLK
ARDYZ
ARENA
ARMGD
ARSAN
ARTMS
ARZUM
ASELS
ASGYO
ASTOR
ASUZU
ATAGY
ATAKP
ATATP
ATAVK
ATEKS
ATLAS
ATLFA
ATSYH
AVGYO
AVHOL
AVOD
AVPGY
AVTUR
AYCES
AYDEM
AYEN
AYES
AYGAZ
AZTEK
BAGFS
BAHKM
BAKAB
BALAT
BALSU
BANVT
BARMA
BASCM
BASGZ
BAYRK
BEGYO
BERA
BESLR
BEYAZ
BFREN
BIENF
BIENY
BIGCH
BIGEN
BIMAS
BINBN
BINHO
BIOEN
BIZIM
BJKAS
BLCYT
BLKOM
BLS
BLSMD
BMSCH
BMSTL
BNPPI
BNTAS
BOBET
BORLS
BORSK
BOSSA
BRGFK
BRISA
BRKO
BRKSN
BRKT
BRKVY
BRLSM
BRMEN
BRSAN
BRYAT
BSOKE
BSRFK
BTCIM
BUCIM
BULGS
BURCE
BURVA
BVSAN
BYDNR
CAGFA
CANTE
CASA
CATES
CCOLA
CELHA
CEMAS
CEMTS
CEMZY
CEOEM
CGCAM
CIMSA
CLDNM
CLEBI
CLKMT
CMBTN
CMENT
CONSE
COSMO
CRDFA
CRFSA
CUSAN
CVKMD
CWENE
DAGHL
DAGI
DAPGM
DARDL
DCTTR
DENFA
DENGE
DENIZ
DERHL
DERIM
DESA
DESPC
DEVA
DFKTR
DGATE
DGGYO
DGNMO
DGRVK
DIRIT
DITAS
DMRGD
DMSAS
DNFIN
DNISI
DNYVA
DNZ
DOAS
DOBUR
DOCO
DOFER
DOGUB
DOHOL
DOKTA
DRPHN
DSTKF
DTBMK
DTRND
DURDO
DURKN
DVRLK
DYBNK
DYOBY
DZGYO
DZY
DZYMK
EBEBK
ECILC
ECZYT
EDATA
EDIP
EFORC
EGEEN
EGEGY
EGEPO
EGGUB
EGPRO
EGSER
EKER
EKGYO
EKIZ
EKOFA
EKOS
EKOVR
EKSUN
EKTVK
ELITE
EMIRV
EMKEL
EMNIS
EMVAR
ENDAE
ENERY
ENJSA
ENKAI
ENSRI
ENTRA
EPLAS
ERBOS
ERCB
EREGL
ERGLI
ERSU
ESCAR
ESCOM
ESEN
ETILR
ETYAT
EUHOL
EUKYO
EUPWR
EUREN
EUYO
EXIMB
EYGYO
FADE
FBB
FBBNK
FENER
FIBAF
FIN
FLAP
FMIZP
FONET
FORMT
FORTE
FRIGO
FROTO
FSDAT
FZLGY
GAPIN
GARAN
GARFA
GARFL
GEDIK
GEDZA
GENIL
GENTS
GEREL
GESAN
GGBVK
GIPTA
GLB
GLBMD
GLCVY
GLRMK
GLRYH
GLYHO
GMTAS
GOKNR
GOLTS
GOODY
GOZDE
GRNYO
GRSEL
GRTHO
GSDDE
GSDHO
GSIPD
GSRAY
GUBRF
GUNDG
GWIND
GZNMI
HALKB
HALKF
HALKI
HATEK
HATSN
HDFFL
HDFGS
HDFYB
HEDEF
HEKTS
HEPFN
HKTM
HLGYO
HLVKS
HLY
HOROZ
HRKET
HTTBT
HUBVC
HUNER
HURGZ
HUZFA
HYB
IAZ
ICB
ICBCT
ICUGS
IDGYO
IEYHO
IHAAS
IHEVA
IHGZT
IHLAS
IHLGM
IHYAY
IMASM
INALR
INDES
INFO
INGRM
INTEK
INTEM
INVAZ
INVEO
INVES
IPEKE
ISATR
ISBIR
ISBTR
ISCTR
ISDMR
ISFAK
ISFIN
ISGSY
ISGYO
ISKPL
ISKUR
ISMEN
ISSEN
ISTFK
ISYAT
IYF
IYM
IZENR
IZFAS
IZINV
IZMDC
JANTS
